Toyota RAV4 2021 3000000 True Capacity 5 Colour Blue TrunkSize Medium Radio 2-DIN BrakeSystem Auto-Brake FueledBy Gasoline Convenience DrivingAssistance Security Anti-theft
Honda CRV 2022 3200000 False Capacity 5 Colour Red TrunkSize Medium Radio 2-DIN BrakeSystem Auto-Brake FueledBy Gasoline Convenience DrivingAssistance Security Anti-theft
RangeRover Sport 2020 4000000 True Capacity 7 Colour White TrunkSize Medium Radio 2-DIN BrakeSystem Auto-Brake FueledBy Gasoline Convenience DrivingAssistance Security Anti-theft
Toyota Prado 2019 4200000 True Capacity 7 Colour Silver TrunkSize Medium Radio 2-DIN BrakeSystem Auto-Brake FueledBy Gasoline/Diesel Convenience DrivingAssistance Security Anti-theft
Nissan XTrail 2022 3600000 False Capacity 7 Colour Orange TrunkSize Medium Radio 2-DIN FueledBy Gasoline Convenience DrivingAssistance Security Anti-theft
Audi Q7 2021 5000000 True Capacity 7 Colour White TrunkSize Medium Radio 2-DIN BrakeSystem Auto-Brake FueledBy Gasoline Convenience DrivingAssistance Security Anti-theft
BMW X5 2023 4700000 True Capacity 7 Colour Blue TrunkSize Medium Radio 2-DIN BrakeSystem Auto-Brake FueledBy Gasoline Convenience DrivingAssistance Security Anti-theft
Porsce Cayenne 2020 5200000 True Capacity 5 Colour White TrunkSize Medium Radio 2-DIN FueledBy Gasoline Convenience DrivingAssistance Security Anti-theft
Tesla ModelX 2021 7500000 True Capacity 7 Colour White TrunkSize Large Radio 2-DIN BrakeSystem Auto-Brake FueledBy Electric Convenience Self-Drive Security Anti-theft
Chevrolet Equinox 2022 5000000 True Capacity 5 Colour Blue TrunkSize Large Radio 2-DIN BrakeSystem Auto-Brake FueledBy Gasoline Convenience DrivingAssistance Security Anti-theft
Subaru Forester 2021 4500000 False Capacity 5 Colour White TrunkSize Medium Radio 2-DIN BrakeSystem Auto-Brake FueledBy Gasoline Convenience DrivingAssistance Security Anti-theft
Jeep GrandCherokee 2018 4000000 True Capacity 5 Colour Black TrunkSize Large Radio 2-DIN FueledBy Gasoline Convenience DrivingAssistance Security Anti-theft
Jeep Wrangler 2019 4800000 True Capacity 4 Colour Red TrunkSize Large Radio 2-DIN FueledBy Gasoline Security Anti-theft
Subaru Outback 2020 3800000 False Capacity 5 Colour Silver TrunkSize Large Radio 2-DIN FueledBy Gasoline Convenience DrivingAssistance Security Anti-theft
Toyota Highlander 2022 4000000 True Capacity 8 Colour Green TrunkSize Medium Radio 2-DIN BrakeSystem Auto-Brake FueledBy Gasoline Convenience DrivingAssistance Security Anti-theft
