Toyota Hilux 2021 5000000 True Capacity 5 Colour Black TrunkSize Large Radio 2-DIN FueledBy Diesel Convenience DrivingAssistance BrakeSystem Auto-Brake Security Anti-theft All-Wheel-Drive
Ford Ranger 2019 4600000 True Capacity 5 Colour Blue TrunkSize Large Radio 2-DIN FueledBy Diesel Convenience DrivingAssistance Security Anti-theft All-Wheel-Drive 
Isuzu DMax 2020 4200000 True Capacity 5 Colour White TrunkSize Large Radio 2-DIN FueledBy Diesel BrakeSystem Auto-Brake Security Anti-theft All-Wheel-Drive
Nissan Navara 2021 5300000 True Capacity 5 Colour Silver TrunkSize Large Radio 2-DIN FueledBy Diesel BrakeSystem Auto-Brake Security Anti-theft All-Wheel-Drive
Mitsubishi L200 2023 4700000 True Capacity 5 Colour Blue TrunkSize Large Radio 2-DIN FueledBy Diesel Convenience DrivingAssistance BrakeSystem Auto-Brake Security Anti-theft All-Wheel-Drive
Chevrolet Colorado 2022 5000000 True Capacity 5 Colour Red TrunkSize Large Radio 2-DIN FueledBy Diesel Convenience DrivingAssistance Security Anti-theft All-Wheel-Drive 
Volkswagen Amarok 2019 4800000 True Capacity 5 Colour White TrunkSize Large Radio 2-DIN FueledBy Diesel Convenience DrivingAssistance Security Anti-theft All-Wheel-Drive
Mazda BT50 2020 4200000 True Capacity 5 Colour Black TrunkSize Large Radio 2-DIN FueledBy Diesel Convenience DrivingAssistance Security Anti-theft All-Wheel-Drive 
Tata Xenon 2021 5500000 True Capacity 5 Colour Silver TrunkSize Large Radio 2-DIN FueledBy Diesel Convenience DrivingAssistance Security Anti-theft All-Wheel-Drive 
Ford F-150 2019 4000000 True Capacity 6 Colour Blue TrunkSize Large Radio 2-DIN FueledBy Diesel Security Anti-theft All-Wheel-Drive
RAM 1500 2021 4800000 True Capacity 6 Colour Red TrunkSize Large Radio 2-DIN FueledBy Diesel Convenience DrivingAssistance Security Anti-theft All-Wheel-Drive
Chevrolet Colorado 2020 4500000 True Capacity 5 Colour White TrunkSize Medium Radio 2-DIN FueledBy Diesel Convenience DrivingAssistance BrakeSystem Auto-Brake Security Anti-theft All-Wheel-Drive
Toyota Tundra 2018 3800000 True Capacity 6 Colour Black TrunkSize Large Radio 2-DIN FueledBy Diesel Convenience DrivingAssistance Security Anti-theft All-Wheel-Drive
Toyota Tacoma 2019 4000000 True Capacity 5 Colour Silver TrunkSize Medium Radio 2-DIN FueledBy Diesel Convenience DrivingAssistance Security Anti-theft All-Wheel-Drive
Jeep Gladiator 2021 4200000 True Capacity 5 Colour White TrunkSize Medium Radio 2-DIN FueledBy Diesel Convenience DrivingAssistance BrakeSystem Auto-Brake Security Anti-theft All-Wheel-Drive
